Algos ir atlyginimai, to meto kainomis mln. lt
1654,6
2020,3
2117,7
2351,8
2149,5
2490,8
2778,8
2827,1
2604,8
3122,4
3209,3
3447
3169,7
3792,6
3853,6
3966,5
3449,2
4001
3670,6
3825,2
3319,9
3711,1
3428,7
3677
3414,9
3830,9
3539,2
3816,9
3697,8
4065,6
3932,3
4299,2
3998,4
4653,7
4451,7
4745,3
4346,8
5187,8
5029,8
5577,2
4988,8
5916,3
5888,7
6537,2
5855,9
6863,8
7264,8
8101,5
6808,1
8207,8
8598,1
9753,5
8238,2
9822,8
10165,8
10409,9
7806,7
8374,2
7764
7685,6
7040,6
7831,4
7654,5
7837,1
7464
8489,9
